id,priority,status,current_role,title,a_dynamics,b_ae,d_training_schedule,c_inference,train_module,infer_module,method_train_entrypoints,method_infer_entrypoint,what_it_tests,notes
exp000_sft_only_direct,baseline,runnable,plain SFT baseline,SFT only + direct LoRA inference,none,none,d0_sft_only,c0_direct_lora,experiments.methods.exp000_sft_only_direct.train,experiments.methods.exp000_sft_only_direct.infer,method.training.sft,method.inference.pathway,"Baseline: no AE, no latent dynamics, direct generation.","From scratch wrapper trains SFT, then direct inference uses that adapter."
exp001_hnn_reconae_joint_direct,core,runnable_current_main,current FrameworkA-equivalent pipeline,Force/damped HNN + reconstruction AE + joint second LoRA + direct inference,a1_force_damped_hnn_current_control,b0_reconstruction_ae_frozen_current,d2_joint_second_lora_and_dynamics,c0_direct_lora,experiments.methods.exp001_hnn_reconae_joint_direct.train,experiments.methods.exp001_hnn_reconae_joint_direct.infer,method.training.sft -> method.training.latent_ae -> method.training.framework_a,method.inference.pathway,"This is the current training process plus current direct LoRA inference, expressed as one abcd combination.",This row replaces the ambiguous old FrameworkA row name. It is the current main comparison line.
exp002_phnn_reconae_joint_direct,core,runnable_candidate,PHNN counterpart to current main line,PHNN + reconstruction AE + joint second LoRA + direct inference,a2_phnn_prompt_control,b0_reconstruction_ae_frozen_current,d2_joint_second_lora_and_dynamics,c0_direct_lora,experiments.methods.exp002_phnn_reconae_joint_direct.train,experiments.methods.exp002_phnn_reconae_joint_direct.infer,method.training.sft -> method.training.latent_ae -> method.training.framework_a_phnn,method.inference.pathway,A-layer dynamics model swap while holding b/d/c fixed against exp001.,Same layer settings as exp001 except HNN replaced by PHNN.
exp003_neuralode_reconae_teacher_direct,core,runnable_candidate,staged dynamics then LoRA comparison,Neural ODE teacher first + reconstruction AE + distilled second LoRA + direct inference,a3_neural_ode_teacher,b0_reconstruction_ae_frozen_current,d1_train_dynamics_then_second_lora,c0_direct_lora,experiments.methods.exp003_neuralode_reconae_teacher_direct.train,experiments.methods.exp003_neuralode_reconae_teacher_direct.infer,method.training.sft -> method.training.latent_ae -> method.training.latent_dynamics_teacher -> method.training.dynamics_distilled_lora,method.inference.pathway,D-layer staged teacher-then-LoRA schedule against joint training.,This is the implemented staged baseline; HNN staged is still planned separately.
exp004_neuralode_reconae_joint_direct,core,runnable_candidate,joint schedule comparison,Neural ODE + reconstruction AE + joint second LoRA + direct inference,a3_neural_ode_teacher,b0_reconstruction_ae_frozen_current,d2_joint_second_lora_and_dynamics,c0_direct_lora,experiments.methods.exp004_neuralode_reconae_joint_direct.train,experiments.methods.exp004_neuralode_reconae_joint_direct.infer,method.training.sft -> method.training.latent_ae -> method.training.joint_lora_dynamics --variant neural_ode,method.inference.pathway,"D-layer joint schedule with Neural ODE, comparable to exp003 staged schedule.",Uses generalized joint_lora_dynamics implementation.
exp005_gradientflow_reconae_joint_direct,secondary,runnable_candidate,alternative dynamics family,Gradient-flow dynamics + reconstruction AE + joint second LoRA + direct inference,a4_gradient_flow_energy,b0_reconstruction_ae_frozen_current,d2_joint_second_lora_and_dynamics,c0_direct_lora,experiments.methods.exp005_gradientflow_reconae_joint_direct.train,experiments.methods.exp005_gradientflow_reconae_joint_direct.infer,method.training.sft -> method.training.latent_ae -> method.training.joint_lora_dynamics --variant gradient_flow,method.inference.pathway,A-layer alternative to HNN/PHNN/Neural ODE with the same b/d/c settings.,Secondary because HNN/PHNN/Neural ODE answer the immediate project questions first.
exp010_neuralode_reconae_teacher_rerank_partial,inference,partial_runnable_reranker_only,"c1 rerank prototype, candidate generation missing",Neural ODE teacher + reconstruction AE + rerank inference prototype,a3_neural_ode_teacher,b0_reconstruction_ae_frozen_current,d1_train_dynamics_then_second_lora,c1_multi_answer_rerank,experiments.methods.exp010_neuralode_reconae_teacher_rerank_partial.train,experiments.methods.exp010_neuralode_reconae_teacher_rerank_partial.infer,method.training.sft -> method.training.latent_ae -> method.training.latent_dynamics_teacher,method.inference.rollout_rerank,C-layer rerank option once multi-answer candidate generation is added.,Not a complete c1 pipeline yet because it does not generate multiple candidates.
x001_c2s_transfer_after_model_selection,downstream,optional_downstream,Task VI transfer after model selection,C2S transfer after selecting core pathway model,selected_after_core_benchmark,not_applicable_to_c2s_runtime,downstream_lora_transfer,c0_direct_lora_c2s_generation,experiments.methods.x001_c2s_transfer_after_model_selection.train,experiments.methods.x001_c2s_transfer_after_model_selection.infer,scripts.c2s.train.train_c2s_single,downstream.tasks.task6_perturbed_cell.generation,"Downstream transfer/application, not a core training-framework selection row.",Run after core model choice stabilizes.
z001_lejepa_speculative_probe,lowest,lowest_priority_speculative,speculative representation idea,LeJEPA-style latent probe,not_a_dynamics_model,not_core_ae_experiment,representation_probe_only,non_generative_latent_scoring,experiments.methods.z001_lejepa_speculative_probe.train,experiments.methods.z001_lejepa_speculative_probe.infer,method.training.lejepa_pathway,method.inference.lejepa_pathway,"Speculative representation quality, not a core dynamics benchmark row.","Lowest priority, excluded from first benchmark."
plan001_hnn_reconae_teacher_direct,core,planned_method_missing,needed HNN staged contrast,"HNN trained first, then second LoRA, direct inference",a1_force_damped_hnn_current_control,b0_reconstruction_ae_frozen_current,d1_train_dynamics_then_second_lora,c0_direct_lora,,,,,D-layer contrast to exp001 joint HNN. Needs a standalone HNN teacher checkpoint path compatible with distillation.,
plan002_phnn_reconae_teacher_direct,core,planned_method_missing,needed PHNN staged contrast,"PHNN trained first, then second LoRA, direct inference",a2_phnn_prompt_control,b0_reconstruction_ae_frozen_current,d1_train_dynamics_then_second_lora,c0_direct_lora,,,,,D-layer staged-vs-joint contrast for PHNN.,
plan003_hnn_dynamicsawareae_joint_direct,core,planned_method_missing,AE layer contrast,HNN + dynamics-aware AE + joint second LoRA + direct inference,a1_force_damped_hnn_current_control,b1_dynamics_aware_ae_pretrain,d2_joint_second_lora_and_dynamics,c0_direct_lora,,,,,B-layer test: whether AE should be trained with rollout/velocity objective instead of reconstruction only.,
plan004_hnn_jointae_joint_direct,core,planned_method_missing,AE layer contrast,HNN + jointly trained AE/dynamics + joint second LoRA + direct inference,a1_force_damped_hnn_current_control,b2_joint_ae_and_dynamics,d2_joint_second_lora_and_dynamics,c0_direct_lora,,,,,B-layer test: whether AE and dynamics should be learned together.,
plan005_hnn_reconae_joint_rerank,inference,planned_method_missing,C-layer rerank for current HNN line,Current HNN joint model + multi-answer rerank,a1_force_damped_hnn_current_control,b0_reconstruction_ae_frozen_current,d2_joint_second_lora_and_dynamics,c1_multi_answer_rerank,,,,,C-layer test: direct inference vs generate-many-and-rerank for current main model.,
plan006_hnn_reconae_joint_frameworkb,inference,planned_method_missing,C-layer FrameworkB restoration,Current HNN joint model + FrameworkB latent weighted average inference,a1_force_damped_hnn_current_control,b0_reconstruction_ae_frozen_current,d2_joint_second_lora_and_dynamics,c2_frameworkb_latent_weighted_average,,,,,C-layer test: HNN rollout and LoRA inference result weighted in latent space. Current repo does not implement this yet.,
